metric_name,value,description
density,2.328271009505559e-4,Proportion of possible edges present
reciprocity_edgewise,0.7709696092619392,Proportion of mutual reposts (edgewise)
reciprocity_dyadic,0.6272990603584296,Proportion of dyads with reciprocated edges
network_size,17228,Number of nodes (users) in network
edge_count,70585,Number of directed edges (reposts)
dyad_count,148393378,Total number of possible dyadic pairs
diameter,9,Longest shortest path between any two nodes
avg_path_length,3.6021377319670616,Average shortest path across all node pairs
num_components,13,Number of disconnected components
giant_component_size,17206,Nodes in largest connected component
giant_component_pct,99.87230090550267,Percentage of nodes in largest component
global_clustering,0.025547416945736586,Global clustering coefficient (transitivity)
avg_local_clustering,0.2858598564287764,Mean of local clustering coefficients
centralization_indegree,0.32574182019319264,Degree centralization index (in-degree)
