name,earliestPost,latestPost,posts_authored,reposts_made,reposts_received,total_likes_on_posts,total_replies_on_posts,total_bookmarks_on_posts,betweenness,betweenness_norm,closeness,closeness_norm,eigenvector_centrality,pagerank,pagerank_norm,hub_score,authority_score,authority_norm,local_clustering,kcore,in_degree,out_degree,total_degree,community,modularity,influence_score
004clinden.bsky.social,2025-12-27,2026-02-09,0,2,0,32,6,1,0,0,0.022641783247228188,0.5296473996288418,0.001224492780082712,1.0277229186127331e-5,0,2.136451199248805e-4,0,0,1,2,0,2,2,NA,0.42669081871064607,0.03926701570680628
005430.bsky.social,2025-04-16,2025-04-16,0,1,0,173,9,0,0,0,0.019182097869623264,0.4487167881229349,6.60768280521214e-5,1.0277229186127331e-5,0,4.411395441142333e-5,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
00hagane.bsky.social,2025-07-12,2026-02-08,0,12,0,1245,51,5,0,0,0.017823350388509733,0.41693231857537305,2.444812835295862e-4,1.0277229186127331e-5,0,0.008304495344751861,0,0,0,12,0,12,12,NA,0.42669081871064607,0.2356020942408377
045b.bsky.social,2026-01-26,2026-01-26,0,1,0,130,6,2,0,0,0.016156946321803815,0.37795099934691667,2.942899132785918e-6,1.0277229186127331e-5,0,4.172621818012475e-5,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
0506oli.bsky.social,2025-01-17,2025-02-03,0,2,0,571,12,0,0,0,0.016808056013953732,0.3931820680111995,5.197041799902772e-6,1.0277229186127331e-5,0,4.959113228846564e-7,0,0,0,2,0,2,2,NA,0.42669081871064607,0.03926701570680628
0kultra.bsky.social,2025-05-01,2025-05-01,0,1,0,11,0,0,0,0,5.804841237592152e-5,0.001357896166206491,0,1.0277229186127331e-5,0,5.664854573179479e-8,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
0lili.bsky.social,2025-09-15,2025-09-15,0,1,0,36,7,0,0,0,0.015923785198760528,0.3724967830793206,2.401085162661532e-6,1.0277229186127331e-5,0,2.7551818070021644e-5,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
0-me-0.bsky.social,2025-06-14,2025-06-14,0,1,0,25,2,0,0,0,0.020578162187264177,0.481374190920201,2.0538742191764353e-4,1.0277229186127331e-5,0,1.5477258078446147e-5,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
0rnella.bsky.social,2025-01-14,2025-01-14,0,1,0,255,20,0,0,0,0.01975580967860529,0.4621373285656091,1.353749580575615e-4,1.0277229186127331e-5,0,2.369605896218794e-7,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
0utfox.bsky.social,2025-01-30,2025-01-30,0,1,0,447,36,0,0,0,0.022419264333120487,0.5244421309917169,0.0011133041403573708,1.0277229186127331e-5,0,5.021721241467335e-6,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
0x0.boo,2026-01-13,2026-01-13,0,1,0,6,0,0,0,0,5.804841237592152e-5,0.001357896166206491,0,1.0277229186127331e-5,0,9.007193528315013e-8,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
1000plateaus.bsky.social,2025-03-28,2025-04-15,0,3,0,34,1,0,0,0,0.019182097869623264,0.4487167881229349,1.982304841563642e-4,1.0277229186127331e-5,0,1.2047256940816872e-4,0,0,0,3,0,3,3,NA,0.42669081871064607,0.058900523560209424
101046.bsky.social,2025-02-21,2025-02-21,0,1,0,168,9,0,0,0,0.020323716646349722,0.4754220793916626,2.260270284713603e-4,1.0277229186127331e-5,0,1.8279347315262927e-6,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
10millionhardbacks.bsky.social,2025-05-24,2025-05-24,0,1,0,7,1,0,0,0,0.015633543136880923,0.3657073022482882,1.465238844891696e-6,1.0277229186127331e-5,0,1.263602748697028e-8,0,0,0,1,0,1,1,NA,0.42669081871064607,0.01963350785340314
