metric_name,value,description
density,2.385400617395701e-4,Proportion of possible edges present
reciprocity_edgewise,0.7522118360583987,Proportion of mutual reposts (edgewise)
reciprocity_dyadic,0.6028361686668504,Proportion of dyads with reciprocated edges
network_size,16377,Number of nodes (users) in network
edge_count,65370,Number of directed edges (reposts)
dyad_count,268206129,Total number of possible dyadic pairs
diameter,9,Longest shortest path between any two nodes
avg_path_length,3.6330469193560067,Average shortest path across all node pairs
num_components,14,Number of disconnected components
giant_component_size,16353,Nodes in largest connected component
giant_component_pct,99.85345301337242,Percentage of nodes in largest component
global_clustering,0.026041628359803524,Global clustering coefficient (transitivity)
avg_local_clustering,0.11414186257444131,Mean of local clustering coefficients
centralization_indegree,0.2968125314647762,Degree centralization index (in-degree)
