"Algorithm","Modularity","Conductance","Internal_Density","Silhouette","Num_Communities","Rank_Modularity","Rank_Conductance","Rank_Internal_Density","Rank_Silhouette","Total_Rank_Score","Final_Rank"
resolution = 10
"Leiden",0.573817919604601,0.333731420947057,0.213094367140482,-0.490824359302351,190,2,1,3,2,1.8,1
"Walktrap",0.549008393911743,0.708070018439602,0.317338997446211,-0.420339167853849,584,3,3,1,1,2.1,2.5
"Louvain",0.574198210191777,0.336040136948553,0.213921588128887,-0.49356142230455,189,1,2,2,3,2.1,2.5
resolution = 1, num_posts = 9000
"Louvain",0.628722090664091,0.15557503279883,0.328188477476279,-0.468719335661841,84,2,1,1,3,1.8,1
"Leiden",0.632981965833271,0.165422418817119,0.316199426584296,-0.450730456943259,88,1,2,3,2,1.95,2
"Walktrap",0.549008393911743,0.708070018439602,0.317338997446211,-0.420339167853849,584,3,3,2,1,2.25,3
resolution = 1, num_posts = 5000
"Louvain",0.694577071772515,0.103731865459439,0.331560960135657,-0.520606426628755,110,2,1,1,3,1.8,1.5
"Leiden",0.695981642709799,0.111093241529724,0.33039352656802,-0.504484991554688,114,1,2,2,2,1.8,1.5
"Walktrap",0.627521739321481,0.56014212141763,0.329747984288961,-0.434795856811887,401,3,3,3,1,2.4,3
resolution = 1, num_posts = 15000
"Leiden",0.585681543993584,0.193506425328438,0.263257409502995,-0.558597087347503,81,1,1,2,2,1.45,1
"Walktrap",0.507961154532273,0.901442065283202,0.294453695838745,-0.254086904814884,1438,3,3,1,1,2.1,2
"Louvain",0.577740274702114,0.195792735823414,0.253424281417463,-0.574459627320653,73,2,2,3,3,2.45,3

resolution = 0.1
"Louvain",0.165864935592455,0.0569909472120036,0.434018170564562,-0.560678110067481,63,2,1,1,2,1.5,1
"Walktrap",0.549008393911743,0.708070018439602,0.317338997446211,-0.420339167853849,584,1,3,3,1,2,2
"Leiden",0.155041033407846,0.0621115077902134,0.43055265248568,-0.580751020015756,66,3,2,2,3,2.5,3
resolution = 0.5
"Louvain",0.563660347706192,0.0954656526426004,0.389762446477314,-0.602615189923247,75,1,1,1,3,1.6,1
"Leiden",0.558748285632834,0.14908387142997,0.352393478131797,-0.589291995272606,95,2,2,2,2,2,2
"Walktrap",0.549008393911743,0.708070018439602,0.317338997446211,-0.420339167853849,584,3,3,3,1,2.4,3
resolution = 0.01
"Louvain",0.0189000497863941,0.0125811974636278,0.472177156041501,-0.117672919224707,53,3,1,1,2,1.7,1.5
"Leiden",0.0214074389450283,0.014994983447731,0.467820756573331,-0.115115337223899,54,2,2,2,1,1.7,1.5
"Walktrap",0.549008393911743,0.708070018439602,0.317338997446211,-0.420339167853849,584,1,3,3,3,2.6,3

"Louvain",0.446870770677806,0.278172515367832,0.166108729069326,-0.567128559626948,44,2,1,3,2,1.8,1
"Walktrap",0.389600598401824,0.981054188361601,0.350111630727545,-0.155062763479324,5550,3,3,1,1,2.1,2.5
"Leiden",0.452796673426284,0.279162318880334,0.218618366213306,-0.596950094995741,51,1,2,2,3,2.1,2.5
resolution = 1
"Louvain",0.546616384263443,0.177205101510083,0.291422138647705,-0.520313593863653,83,2,1,3,2,1.8,1
"Walktrap",0.475459396242714,0.88133141846669,0.321590534952706,-0.344148954381023,1318,3,3,1,1,2.1,2.5
"Leiden",0.550663855692801,0.183914377820617,0.302463580993587,-0.574948846507926,89,1,2,2,3,2.1,2.5
resolution = 0.01
"Louvain",0.0111066482886191,0.00724712409186765,0.42803907685873,0.150586435949751,46,2.5,1.5,1.5,1.5,1.7,1.5
"Leiden",0.0111066482886191,0.00724712409186765,0.42803907685873,0.150586435949751,46,2.5,1.5,1.5,1.5,1.7,1.5
"Walktrap",0.467824371934247,0.84150674331858,0.288792911848201,-0.41283129264211,992,1,3,3,3,2.6,3
resulotion = 5
"Leiden",0.51111336037148,0.339262222054863,0.20331925465611,-0.573786311915327,157,1,1,2,3,1.75,1
"Walktrap",0.479742909977187,0.932726754757862,0.329477600064491,-0.153303470887461,2224,3,3,1,1,2.1,2
"Louvain",0.509494926461285,0.344206922817231,0.201930332343668,-0.570028744755054,157,2,2,3,2,2.15,3
resolution = 10
"Leiden",0.48073287294899,0.432008162577157,0.185360972559142,-0.567280820677504,209,1,2,2,2,1.8,1
"Walktrap",0.472279819602478,0.920165096068631,0.336380810786495,-0.2359828742027,1831,3,3,1,1,2.1,2.5
"Louvain",0.480190146596046,0.424548940848751,0.183996931347621,-0.567367232300031,211,2,1,3,3,2.1,2.5
resolution = .001
"Walktrap",0.481904862376472,0.894124076446836,0.317294614614615,-0.321726396103385,1434,1,3,3,1,2,1
"Louvain",0.00758600042942434,0,0.44806829162823,-0.999723183391003,49,2.5,1.5,1.5,2.5,2,2.5
"Leiden",0.00758600042942434,0,0.44806829162823,-0.999723183391003,49,2.5,1.5,1.5,2.5,2,2.5
resolution = 1
"Louvain",0.547742166011653,0.182303306107473,0.294633889984636,-0.440827227916479,83,2,1,3,2,1.8,1
"Walktrap",0.479750136631068,0.911642104832539,0.348817218603555,-0.247794479750172,1754,3,3,1,1,2.1,2.5
"Leiden",0.549919998729702,0.194703171632532,0.335328178794332,-0.577832888095627,93,1,2,2,3,2.1,2.5
"Leiden",0.446690619321932,0.313025890429303,0.227946376797188,-0.636993588779341,52,1,1,2,3,1.75,1
"Walktrap",0.360677545781644,0.988745452241173,0.368065210953869,0.0681396837425416,8664,3,3,1,1,2.1,2
"Louvain",0.439549118973532,0.342797503683378,0.172073538095458,-0.615059316814315,48,2,2,3,2,2.15,3
"Leiden",0.479094922215752,0.253893052516013,0.249866766595821,-0.616738181712625,62,1,1,2,3,1.75,1
"Walktrap",0.387902782372861,0.972577976594898,0.355453156152926,-0.103929823194683,4389,3,3,1,1,2.1,2
"Louvain",0.4681361210485,0.276727708641407,0.230549751605298,-0.603239661625433,61,2,2,3,2,2.15,3
"Leiden",0.459050703047264,0.294290544443046,0.289302063836611,-0.618656293109437,57,1,1,2,2,1.45,1
"Walktrap",0.3875384565451,0.985506209197011,0.403834578310019,0.00291461539536106,6873,3,3,1,1,2.1,2
"Louvain",0.450546213086566,0.299554627974482,0.25276180181893,-0.620502325983398,54,2,2,3,3,2.45,3
