did,handle,display_name,avatar,associated_chat_allow_incoming,associated_activity_subscription_allowsubscriptions,viewer_muted,viewer_blocked_by,labels_src,labels_uri,labels_cid,labels_val,labels_cts,created_at,description,indexed_at,uri,original_uri,verification_verifications_issuer,verification_verifications_uri,verification_verifications_is_valid,verification_verifications_created_at,verification_verified_status,verification_trusted_verifierstatus,viewer_following,viewer_followed_by,labels_ver,labels_cts_..9,labels_src_..10,labels_uri_..11,labels_val_..12,labels_src_..14,labels_uri_..15,labels_val_..17,labels_cts_..18,labels_src_..22,labels_uri_..23,labels_val_..24,labels_cts_..25
did:plc:xzpzaomxbq22xor2ttvrcwhu,keith1275.bsky.social,Keith Hyland,https://cdn.bsky.app/img/avatar/plain/did:plc:xzpzaomxbq22xor2ttvrcwhu/bafkreiemndt7nkcvug6aucwikx2oxrymk472czypwwqfdpxrc3tlbb4c2u@jpeg,following,followers,FALSE,FALSE,did:plc:xzpzaomxbq22xor2ttvrcwhu,at://did:plc:xzpzaomxbq22xor2ttvrcwhu/app.bsky.actor.profile/self,bafyreibnlt4iaw5trozixkdu5dcy46nmnwtfgizuyqwc5x3inj4uzj76hq,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-09-17T18:19:34.091Z,"Close no doors.
Diversity. Equity. Inclusion.

“currently clean on OPSEC""

#Speirgorm  #spéirgorm 🇬🇱",2025-03-29T07:56:31.364Z,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:uwji4l3wzsygaxduowluqmgr,sharrow.bsky.social,Sharrow 🏳️‍🌈🏳️‍⚧️🇮🇪🦄💙📚🎃,https://cdn.bsky.app/img/avatar/plain/did:plc:uwji4l3wzsygaxduowluqmgr/bafkreiesu4kqeyy7fagrt3ubncguvtcj36ctpvdvdlnusrz3j6ixlcted4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-25T07:18:54.224Z,"Omni Gamer, Activist, Infovore. 
She/Her Queer 
Communication & Communities 
Where is my Bisexual pride flag emoji? 
If I can't have My Reproductive Rights then it's not My Revolution.
Janet.ie
#LongCovid 
#TransHealthCareNow
#abortionishealthcare",2025-10-16T00:15:47.681Z,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,at://did:plc:siclj5jstt2xodsn7epgnqld/app.bsky.feed.post/3m6nl6no3bk2u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:6csq4nt7yowkwyiylro3uu2t,pepsffk.bsky.social,Oftentimes Jack 🇮🇪,https://cdn.bsky.app/img/avatar/plain/did:plc:6csq4nt7yowkwyiylro3uu2t/bafkreibmgwzzfk6rwmew7iuvnuuzedwqfato4bh7bhwp2wjuigfo6gnjki@jpeg,NA,followers,FALSE,FALSE,did:plc:6csq4nt7yowkwyiylro3uu2t,at://did:plc:6csq4nt7yowkwyiylro3uu2t/app.bsky.actor.profile/self,bafyreiawuwd44l25i3uu4pzl4xtcnnhpa3sdf6atallssfxaaak65vd7oa,!no-unauthenticated,2024-11-08T13:33:30.531Z,2024-11-08T13:33:31.813Z,"All I want is a world in which when I am gone I will be mourned by the bees.

هنا لمساعدة الفلسطينيين

""We are each other's harvest; we are each other's business; we are each other's magnitude and bond""

Trans Rights Are Non-Negotiable 🌈🫂",2025-11-16T22:02:07.516Z,at://did:plc:j2wnnsrxlcesmgggtmpfou7c/app.bsky.feed.post/3m6nevkx4v226,at://did:plc:j2wnnsrxlcesmgggtmpfou7c/app.bsky.feed.post/3m6nevkx4v226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:uwji4l3wzsygaxduowluqmgr,sharrow.bsky.social,Sharrow 🏳️‍🌈🏳️‍⚧️🇮🇪🦄💙📚🎃,https://cdn.bsky.app/img/avatar/plain/did:plc:uwji4l3wzsygaxduowluqmgr/bafkreiesu4kqeyy7fagrt3ubncguvtcj36ctpvdvdlnusrz3j6ixlcted4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-25T07:18:54.224Z,"Omni Gamer, Activist, Infovore. 
She/Her Queer 
Communication & Communities 
Where is my Bisexual pride flag emoji? 
If I can't have My Reproductive Rights then it's not My Revolution.
Janet.ie
#LongCovid 
#TransHealthCareNow
#abortionishealthcare",2025-10-16T00:15:47.681Z,at://did:plc:jl6cn5yuzpi4tj5vfl7ysfrm/app.bsky.feed.post/3m6nepuiix22k,at://did:plc:jl6cn5yuzpi4tj5vfl7ysfrm/app.bsky.feed.post/3m6nepuiix22k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:onk5fak6ezcpgfk3alsib4fx,caitrionas.bsky.social,Caitríona Shanahan,https://cdn.bsky.app/img/avatar/plain/did:plc:onk5fak6ezcpgfk3alsib4fx/bafkreihbou7vadraz2acmnqmrjwkphp5xp2gyy6ea5ir2tjen7lmfm3enq@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-11-26T13:01:18.387Z,"She/her//sí/í. Done working around the world, happy to be back home in the gorgeous Kingdom of Kerry, ensconced in Munster, the true home of northern hemisphere rugby. Lucky to have such wonderful niblings who keep me in touch with this 21st Century stuff.",2024-01-26T03:07:57.268Z,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:k2qphz4i7ioibek2iaqmdwwi,bikesnbukes.bsky.social,Oisín Murphy-Lawless,https://cdn.bsky.app/img/avatar/plain/did:plc:k2qphz4i7ioibek2iaqmdwwi/bafkreicrcsqnkhjjfycg2z7cqkjrkm6zgq3sb2bku2jilrbawvfjpo5ogm@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-09-22T07:11:27.873Z,"LLM in Human Rights. Opinions are my own, reposts not an endorsement. Cyclist, da, flatmate to Finrod (friend to man). Cat pics, Phillies, some law, tech and internet policy (day job), the odd Bucky/Klaes gif. Oh! And RPG stuff (mainly Call of Cthulhu).",2025-11-16T21:01:57.916Z,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,at://did:plc:ek6kvqen34uiu3ctdfyutjcw/app.bsky.feed.post/3m6namtrhak25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:wgkqct5ydercw5mliithdzyy,wildecard.bsky.social,KP McDonnell,https://cdn.bsky.app/img/avatar/plain/did:plc:wgkqct5ydercw5mliithdzyy/bafkreiafht3no2vptbsokloa2qrfbevrx2hjfxekfkaham3b5tbpsbkjx4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-11-17T20:14:39.240Z,"An Irish Green socialist with a penchant for heavy metal, video games, horror movies and obvious nonsense that does harm to no one.
Please don't repost twitter or obvious propaganda from any government into my timeline.",2025-11-13T22:13:18.717Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:wg5sefmf4r7u3veskf7c7qpw,sarklor.bsky.social,Ciaránavirus,https://cdn.bsky.app/img/avatar/plain/did:plc:wg5sefmf4r7u3veskf7c7qpw/bafkreic2htcrwujwschudcck56stdnrivgfmuxiu4xnrhp44zdsztcdwca@jpeg,all,none,FALSE,FALSE,NA,NA,NA,NA,NA,2023-05-30T12:17:26.741Z,"Depressed goblin nightmare boy.

Occasional freelance writer: Warhammer 40K: Wrath & Glory, Imperium Maledictum, Warhammer Fantasy RolePlay. I am also a 2019 Hugo Award Attendee. He/Him etc.
https://ko-fi.com/sarklor
https://www.sarklor.ie/",2025-05-06T15:44:19.644Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:fw54bretcmizoti3u7q3pwin,stephencward.com,Stíofán Mhac an Bhaird (Stephen Ward),https://cdn.bsky.app/img/avatar/plain/did:plc:fw54bretcmizoti3u7q3pwin/bafkreicaejwhumxgxq7d376ccgbpnqtvnhtxbo6f27gk7rqc4ljbcdbtbm@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-06-23T10:35:28.186Z,"Comic-loving bookworm. Scribbler of words and images.  (cis,he/him)

Website: https://stephencward.com

Avatar by Debbie Jenkinson",2025-10-22T12:30:24.616Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:ewsgrdkxvkheig6kjgvlvrhx,alexcurran95.bsky.social,Alex Curran,https://cdn.bsky.app/img/avatar/plain/did:plc:ewsgrdkxvkheig6kjgvlvrhx/bafkreihdm57lzdl6bczl7rec25dqdec4ek7lpqrdllogulprng4fgbd32m@jpeg,NA,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2025-11-14T18:11:28.917Z,NA,2025-11-14T18:32:29.016Z,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,at://did:plc:uwji4l3wzsygaxduowluqmgr/app.bsky.feed.post/3m6n6su2nak2p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
